Day,    Q
1,18.45833333
2,43.125
3,41.83333333
4,31.83333333
5,17.375
6,58.58333333
7,57.95833333
8,29.33333333
9,45.5
10,27.58333333
11,17.58333333
12,52.16666667
13,88.25
14,84.70833333
15,86.91666667
16,26.20833333
17,18.20833333
18,55.58333333
19,75.625
20,39.33333333
21,74.41666667
22,35.75
23,61.45833333
24,75.375
25,64.75
26,33.66666667
27,63.375
28,49.70833333
29,99.20833333
30,46.04166667
31,70.04166667
32,43.5
33,62.45833333
34,37.625
35,68.625
36,55.91666667
37,88.58333333
38,25.54166667
39,43.20833333
40,99.91666667
41,78.125
42,84.875
43,107.2083333
44,98.625
45,49.5
46,75.875
47,43.5
48,71.20833333
49,26.79166667
50,31.54166667
51,37.45833333
52,85.66666667
53,111.625
54,85.41666667
55,72.20833333
56,64.70833333
57,111.7083333
58,109.1666667
59,114.5
60,97.75
61,103.2083333
62,90.54166667
63,82.16666667
64,61.625
65,85.83333333
66,122.5833333
67,120.7916667
68,113.5833333
69,106.4166667
70,110.0833333
